rule	source	line	shadowed_by	shadow_source
DOMAIN-SUFFIX,mail.icloud.com.cn	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/AppleMail/AppleMail.list	7	DOMAIN-SUFFIX,icloud.com.cn	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/iCloud/iCloud.list
DOMAIN-SUFFIX,mail.me.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/AppleMail/AppleMail.list	8	DOMAIN-SUFFIX,me.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/iCloud/iCloud.list
DOMAIN,tv.applemusic.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/AppleTV/AppleTV.list	13	DOMAIN-SUFFIX,applemusic.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/AppleMusic/AppleMusic.list
DOMAIN,fmfmobile.icloud.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/FindMy/FindMy.list	7	DOMAIN-SUFFIX,icloud.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/iCloud/iCloud.list
DOMAIN,fmipmobile.icloud.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/FindMy/FindMy.list	8	DOMAIN-SUFFIX,icloud.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/iCloud/iCloud.list
DOMAIN,statici.icloud.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/FindMy/FindMy.list	9	DOMAIN-SUFFIX,icloud.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/iCloud/iCloud.list
DOMAIN,api-glb-sea.smoot.apple.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/AppleProxy/AppleProxy.list	9	DOMAIN-SUFFIX,apple.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/Apple/Apple.list
DOMAIN,apple.comscoreresearch.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/AppleProxy/AppleProxy.list	10	DOMAIN-SUFFIX,apple.comscoreresearch.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/Apple/Apple.list
DOMAIN,books.itunes.apple.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/AppleProxy/AppleProxy.list	11	DOMAIN-SUFFIX,apple.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/Apple/Apple.list
DOMAIN,cdn.apple-cloudkit.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/AppleProxy/AppleProxy.list	12	DOMAIN-SUFFIX,apple-cloudkit.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/iCloud/iCloud.list
